IDX	Sector	Specialisation	Occupation	Participant	URL type (Type NA if can't find)	Licence	Occupation_Gender	Participant_Gender	Error codes	Annotator
OP_1	education	institutional	teacher	student	https://images.pexels.com/photos/7092361/pexels-photo-7092361.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	masculine		Siobhan
OP_2	education	institutional	teacher	student	https://images.pexels.com/photos/7092583/pexels-photo-7092583.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	masculine		Siobhan
OP_3	education	institutional	teacher	student	https://images.pexels.com/photos/9159042/pexels-photo-9159042.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	masculine		Siobhan
OP_4	education	institutional	teacher	student	https://images.pexels.com/photos/8197543/pexels-photo-8197543.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	masculine	masculine		Siobhan
OP_5	education	institutional	teacher	student	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEMPViAHK4s_AIN15g4Bo6lzN66gkW2MUNvA&usqp=CAU	Yes	masculine	masculine		Siobhan
OP_6	education	institutional	teacher	student	https://images.pexels.com/photos/5212350/pexels-photo-5212350.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	feminine		Siobhan
OP_7	education	institutional	teacher	student	https://images.pexels.com/photos/9159059/pexels-photo-9159059.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	feminine		Siobhan
OP_8	education	institutional	teacher	student	https://images.pexels.com/photos/7092538/pexels-photo-7092538.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	feminine		Siobhan
OP_9	education	institutional	teacher	student	https://images.pexels.com/photos/6238010/pexels-photo-6238010.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	masculine	feminine		Siobhan
OP_10	education	institutional	teacher	student	https://images.pexels.com/photos/6334575/pexels-photo-6334575.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	masculine	feminine		Siobhan
OP_11	education	institutional	teacher	student	https://images.pexels.com/photos/6502825/pexels-photo-6502825.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	feminine	masculine		Siobhan
